Q9Y5Q8 Q9UKN8
Q16478 O43424
O60237 Q14005
P41091 P05198
P40855 P56589
P78560 Q9HB75
P80294 P58062
O95613 Q9NRI5
Q15691 Q99661
P48059 Q15404
P48058 P05129
Q16890 P55327
P12755 P12757
Q3SYG4 Q9BXC9
Q14839 Q86YP4
O60941 P46939
O14745 P09619
Q7L2J0 Q4G0J3
O14746 Q96BK5
P13807 P46976
Q8WTR2 O14733
P50402 O75531
Q9BSQ5 Q9BUL8
Q9UBN7 Q14247
P31150 P62820
P18074 Q13888
P52803 P29320
Q15233 P23246
P48681 Q00535
Q9H2L5 Q13188
O00186 Q12846
P21796 P68363
P14921 Q9UER7
Q07666 P16333
O60832 Q96HR8
O95352 Q9H0R8
Q92994 Q9Y5Q9
O00459 P42336
O95197 Q9NQC3
O14593 O00287
Q9NVA2 Q15019
Q9BV68 Q9Y2X8
P62837 Q9NYG5
Q05586 Q12879
Q969H0 P46531
Q12769 P57740
O95999 Q9H257
P53999 P33240
P53992 Q15436
Q9UKK6 Q9H4D5
P78371 P62714
O15357 P22681
Q9GZN1 P0C0S5
Q8IX07 P15976
Q9BXL7 O95999
Q99836 P58753
P78559 Q9H492
O60716 P19022
P43487 P62826
P78552 P35225
Q9NRW7 Q9H1K0
P32942 P26038
P43005 O75915
P42574 Q13489
P68366 P00533
P68363 P27986
Q9NPI6 Q6P2E9
P54578 O00231
Q9H9H4 Q99816
Q92572 O14617
Q92574 P31946
P42680 Q99704
Q9HAU4 Q9Y3C5
Q9HAU5 Q96Q15
P52756 O43143
Q05397 P29317
Q14247 P61158
Q14242 P16109
Q8N6P7 Q9GZX6
Q13200 Q16186
Q8IVH2 O15409
Q8N163 Q96EB6
Q86YB8 P07237
P62820 Q8TBA6
P54198 Q9Y294
Q96F46 Q16552
P62280 P46783
Q9UHI6 P62304
P25787 Q15008
P25788 P49721
Q9NYJ8 P51617
Q96EV8 O95295
P17275 Q16520
O95602 P62875
Q9H9Q4 P49917
O15519 Q07817
P09914 O14879
O15514 P19387
Q6ZNE5 Q8NEB9
P63220 P23396
P11142 O95817
Q96EK4 P51610
Q8TBB1 P49757
Q13769 Q8NI27
O14776 Q15637
P61088 Q13049
Q13564 P61081
Q13563 P98161
Q9BUJ2 P52597
P62263 P61247
Q96IJ6 Q9Y5P6
Q13618 Q14790
P78318 O15344
P25024 P09341
O00192 P55291
Q15223 P55196
O00194 Q96C24
P49720 Q9Y244
P07195 P00338
Q71U36 P07437
P05109 P06702
O00330 P10515
O60828 Q9Y2W2
P04629 P08138
O95166 Q14596
Q9GZV5 P62258
O95163 Q9H9T3
O43542 O43502
Q9BRP4 O00487
Q12962 P21675
Q96CW5 P23258
Q9P253 Q9H270
Q96CW1 P63010
Q96RL1 Q9NWV8
P15880 P62081
Q9BXS5 O43747
Q03135 P35354
P20783 Q16288
P28799 O60563
P35611 Q92598
Q9Y244 P25789
O15164 P45973
Q16629 P38919
Q99828 O14746
O75506 Q9Y3C0
Q9UKV8 Q9UL18
Q9Y4K3 Q9HAV5
P27797 P30101
Q9Y6K1 O75925
P60568 P31785
Q4VCS5 P35240
Q9Y6K9 O15111
P35609 P22460
Q92747 O15144
O43809 Q16630
Q13162 Q06830
Q13164 Q13163
O43752 O15400
Q9NPJ6 Q9BTT4
Q9H410 O95229
P52566 P60763
P61981 Q7KZI7
Q5VTR2 O75150
Q9UIV1 A5YKK6
P19438 Q92636
Q68CP9 Q96GM5
Q9H0Y0 O94817
Q6P2E9 Q8IU60
Q86YC2 Q9UBU8
Q02763 Q15389
Q99558 Q9Y4K3
Q9Y5S9 P61326
P49450 Q8NCD3
Q14676 O76064
Q14678 P27348
Q9ULV1 Q00604
P40692 P52701
P61163 Q9UJW0
P36894 P12644
Q2NL82 Q9NRX1
P07333 P07947
Q13418 Q9NVD7
P14416 Q96SB3
P61769 P15813
P55036 P62191
Q13772 P10275
P62072 Q9Y5J7
Q7L2H7 Q9UBQ5
Q9BUI4 Q9Y535
O95707 Q969H6
P80075 P51681
O00232 P51665
P45985 Q99683
Q96C24 P61764
O76071 Q96T76
O76075 O00273
P02489 P43320
O14579 P35606
P18848 Q9NS37
P49841 O75581
P62851 P62263
P62854 P15880
Q96CV9 P61006
Q9UKI2 P60953
Q969N2 O43292
Q92888 Q14344
Q92889 Q8IY92
O15372 Q7L2H7
Q15029 Q15393
Q15024 Q13868
Q15022 Q92833
Q9Y275 Q02223
P57678 Q8TEQ6
P02792 P02794
P46459 P42262
O60739 O75821
Q9Y6J0 Q14814
P17813 P36897
O95391 Q9H2H8
P06307 P32239
P42229 Q13287
Q99963 Q99962
P10145 P25025
P04150 Q99933
P04156 P10909
Q99816 O60291
O75688 P05161
Q9UMD9 P16144
P27348 Q5S007
Q9H269 Q96AX1
Q99490 Q86YM7
Q53T94 Q15573
P20226 Q6P1X5
O75494 P35637
Q9NUP9 P48050
O14974 Q6WCQ1
Q99567 P52948
Q99719 Q92599
Q99767 P05067
Q96RN5 P49336
Q05516 P29590
P11387 P09874
Q14686 O15550
P11388 O14980
Q9HCU8 P28340
P06493 Q99741
O14802 P05423
Q9HCK5 Q8NDV7
P36405 Q13432
P36404 O43924
P63208 Q9UKC9
Q8WXI9 Q16576
Q9UN37 Q9NP79
P22681 P08581
O43660 Q99459
Q13546 Q15628
P62241 P62266
Q96F86 Q9NPI6
P62249 P46782
Q9UJY4 Q92673
Q9UJY5 Q9UMZ2
Q9UJY1 P04792
O00221 Q9UKB1
P13726 P08709
P13725 P42702
Q6ZRQ5 Q96HA7
Q9ULC4 O43583
P51149 Q96NA2
P05161 P41226
Q5T2W1 Q13113
Q9BYG3 P46013
P51825 Q03111
Q9UL18 Q9HCJ0
Q15303 Q02297
P29317 P29353
P35998 Q5VYK3
P13612 P49023
Q9Y463 P61962
Q7LBR1 O95630
Q15466 P62508
Q9UKF6 Q9P2I0
P02786 Q30201
Q96S59 P05107
Q9Y265 Q8NBZ0
O14497 P51531
Q08211 P57678
O75528 O75478
O75529 Q92830
O75525 Q07666
Q01518 P23528
P35372 Q5T9L3
P17535 O00255
Q9NRR5 Q9UMX0
Q92769 O75182
Q92785 Q92922
Q92783 P40818
P46736 Q6UWZ7
P15918 P52294
Q01196 Q04724
Q9HAV0 Q9UBI6
Q96SB4 Q15424
O43172 Q9UK45
Q14457 Q8N5C8
Q8NEU8 Q9UKG1
Q13094 O15117
Q86YM7 P21817
P26599 Q14103
Q02962 Q6ZW49
Q13326 Q14315
Q13323 Q92843
P09871 P00736
Q14697 P14314
P19387 P30876
P40818 Q7LBR1
P36507 P10398
P81877 P17542
Q8IXI2 Q9UPV9
P36873 Q12972
Q6P4R8 Q9Y5K5
Q9NTG7 Q13309
Q9UPT6 Q07866
Q8NC51 Q12873
P63279 P25445
Q8WXF8 O75618
P22459 P16389
Q96GD4 Q9NQS7
Q9UBP6 P57081
Q96L34 Q04917
Q6PD62 Q92541
P50151 P62879
Q9UQB8 P54259
Q13114 P25942
Q13889 P32780
O00141 P46934
Q96KQ7 Q9H9B1
Q9BVW5 Q9UNS1
P51955 Q8NG66
P56279 P31751
O95154 O43488
P31269 O00470
Q15311 P11234
Q9NZU7 Q13936
Q9UBB5 O94776
Q9NP79 Q9NZZ3
Q15006 Q9Y3B6
Q15003 Q9BPX3
Q9Y4Z0 O43172
P28562 P28482
P07766 P06239
Q12846 P54920
P51178 P21980
P20273 P43405
O75530 Q92800
O75822 O15372
P09651 P31942
P68106 Q92736
Q8WVB6 Q9BVC3
Q13155 Q15046
Q14192 Q13683
Q14190 P27540
Q14191 P13010
Q14194 Q16555
O60683 O00623
Q92844 Q14164
P07814 P41252
Q04759 O14920
P23458 P48551
Q8N122 Q9BVC4
Q9H444 Q9H3S7
O75791 Q13094
O94992 P50750
Q6FI81 O76003
Q9UNQ2 Q9BVS4
Q99741 P25205
Q6IN85 P60510
O60260 P62253
O60264 Q9NRG0
Q15648 Q93074
P48023 Q13158
Q15645 Q15013
P21912 P31040
P62316 Q9Y333
P62314 Q15428
Q13424 P11532
Q96B01 Q06609
Q16594 Q16514
O95711 Q99467
P61758 Q99471
Q15796 Q13485
O43463 P68431
P49674 O14640
O14733 Q9Y2U5
P22466 P47211
P41252 Q9P2J5
P16234 Q9NRA1
P37023 P27037
Q16778 O60907
Q66GS9 Q9HC77
P28222 P28221
Q9NR46 Q9Y371
P61224 O15211
P84095 Q86UP2
Q14999 Q8N3Y1
Q96KP1 Q8IYI6
P51784 Q93009
P50542 Q92968
P55060 Q96KP4
Q03111 Q9UHB7
O00482 Q15466
P51948 P51946
Q9H2C0 P46821
P55209 Q99733
Q9BYE7 Q06587
P31273 Q15797
Q9BRT9 Q9Y248
Q9NP85 Q9Y5K6
Q9C005 Q9UBL3
Q00597 O15287
Q96ES7 O75528
O95239 O43663
Q15653 Q04864
P13073 P00395
Q9H1K0 P20339
P29084 P29083
Q8IY18 Q96SB8
P29590 Q15583
P04233 P01903
O43924 Q15382
P35080 P50552
Q9UBX5 Q08397
Q14181 P49643
P35222 Q92997
Q14186 O00716
Q04695 P02538
P24534 Q05639
O60673 Q9UI95
O60671 Q99638
P62324 Q9UFF9
P54252 P54727
Q7L5N1 P61201
P98172 O43639
O43156 Q9Y4R8
Q13003 Q16478
P05556 P08962
P42702 P26441
Q14500 Q9HAP6
Q9BSM1 Q5H9F3
O15492 P08754
P59998 P61160
P12931 Q14289
Q99595 O43615
Q9NYM9 O95249
Q13188 Q13043
P49427 P62877
P26718 Q9UBK5
P21926 P26006
Q99547 Q01780
Q15672 Q92831
P50222 P23760
P50221 P15863
P62306 Q9UHI6
P63096 O43566
P51668 P78317
Q9BRG1 Q86VN1
O14727 P98170
P13861 P24588
P54105 P62318
Q8IXK0 Q9HC52
Q9NWU2 Q9H7D7
P47897 P14868
Q9HB90 Q6IAA8
P27694 P54132
O95059 P78346
P59768 Q9HAV0
O14618 P00441
Q9UNL4 Q04206
P55072 O94888
O60894 Q16602
P51681 Q99616
P51684 P78556
P51685 P22362
Q07020 P62750
Q07021 P50281
Q9UBD5 Q13416
P08908 P11362
Q9H8S9 Q15208
Q07157 Q16625
Q9Y230 P60709
Q9UM11 P14635
Q9Y239 O43353
O15131 P46527
P98170 P42574
P25942 O00463
P08238 O00170
Q9Y6N9 Q9H251
P23297 P25815
Q6P1J9 Q8WVC0
P24522 Q8TAE8
Q15116 Q9NZQ7
Q9P2J5 P54136
O15516 O00327
Q9H840 Q16637
O15228 O00116
P49069 O14836
P15927 P27694
O75489 O75306
P53041 Q9UHD1
Q8N726 Q00987
P05423 Q9Y2S0
P17980 Q9BRP4
P17987 P48643
Q9BXJ9 P41227
Q9UKS6 Q13444
Q92466 Q7L5N1
Q8IW35 O43303
Q6NUQ1 O43264
Q99613 O75822
Q01094 Q14188
P26368 Q01081
P26367 O94829
O43707 O00151
P42262 Q9Y3R0
P26373 Q07020
Q9Y5X1 Q05193
Q8IWV7 P63146
Q99728 O14867
Q13190 O75396
Q14152 Q13347
P21281 P15313
Q15019 Q16181
P19338 P39060
Q6W2J9 P41182
